,DELAY BETWEEN RATES (ms),Batch Size,Number of Batches (per run),Number of runs,Delay Increment,Batch Size Increment,,,,,,
0,50,1,1000,-1,0,0,,,,,,
TYPE,SOURCE,ASSET CLASS,TENOR,OWNER,RISK CENTRE,BASE CCY,QUOTE CCY,BID,OFFER,CATEGORY,,
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,GBP,USD,1.444,1.44412,Market,0,A
FX,2,FXSPOT,SP,,SIMU,GBP,USD,1.444,1.44412,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.1379,1.138,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,JPY,124.462,124.472,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.1379,1.138,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,JPY,124.462,124.472,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.788,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.385,109.393,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.788,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,JPY,109.385,109.393,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67315,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67322,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67322,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,USD,AED,3.67322,3.67345,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.1379,1.138,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,USD,1.1379,1.138,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.788,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.788,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.78802,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.78802,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.78802,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,GBP,0.78802,0.78806,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
FX,2,FXSPOT,SP,,SIMU,EUR,INR,1.10619,1.10627,Market,0,A
