ValueDate,Account,ExternalReference,OurBalance,Status,ExtBalance,amtDiff,isdiff,Book,ParenExRef,extCparty,firm,center,ourUpdated,extUpdated
24/05/2018,Adjustments,A-adj,0,M,0,0,FALSE,ADJUSTMENT,ADJUSTMENT/A-ADJ,OTHER-OTH,OTHER,OTH,TRUE,TRUE
24/05/2018,Adjustments,B-adj,0,M,0,0,FALSE,ADJUSTMENT,ADJUSTMENT/B-ADJ,OTHER-OTH,OTHER,OTH,TRUE,TRUE
24/05/2018,Aggregates,B-dutyx,"2,541.70",U,"25,417.00","22,875.30",TRUE,AGGREGATES,AGGREGATES/B-DUTYX,HMRC-OTH,HMRC,OTH,TRUE,TRUE
24/05/2018,Alliance & Leicester,A-cgiro,"11,834.79",X,,"-11,834.79",TRUE,ALLIANCEAN,ALLIANCEAN/A-CGIRO,ALLIANCE-OTH,ALLIANCE,OTH,TRUE,FALSE
24/05/2018,APD,B-dutyx,"15,091.34",M,"15,091.34",0,FALSE,APD,APD/B-DUTYX,HMRC-OTH,HMRC,OTH,TRUE,TRUE
24/05/2018,BACS,D-p1bac,"-7,148.53",M,"-7,148.53",0,FALSE,BACSRCPTS,BACSRCPTS/B-BACS,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,BACS receipts,A-bacs,"110,961.08",X,,"-110,961.08",TRUE,BACSRCPTS,BACSRCPTS/A-BACS,BOE-OTH,BOE,OTH,TRUE,FALSE
24/05/2018,BACS receipts,B-bacs,"793,248.61",M,"793,248.61",0,FALSE,BACSRCPTS,BACSRCPTS/B-BACS,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,Bank Giro Credit,D-oidrx,0,U,"5,000.00","5,000.00",TRUE,BANKGIROCR,BANKGIROCR/D-OIDRX,HMRC-OTH,HMRC,OTH,TRUE,TRUE
24/05/2018,Barclays to Shipley transfer,A-bbarc,"1,906.27",M,"1,906.27",0,FALSE,BARCTOSHIP,BARCTOSHIP/A-BBARC,BARCLAYS-OTH,BARCLAYS,OTH,TRUE,TRUE
24/05/2018,BERR,D-p1bacx,"-21,048.45",M,"-21,048.45",0,FALSE,BERR,BERR/D-P1BACX,HMRC-OTH,HMRC,OTH,TRUE,TRUE
24/05/2018,BoE Clearing Centre Payments,A-ubecc,"-9,849.09",M,"-9,849.09",0,FALSE,BOECLRCPAY,BOECLRCPAY/A-UBECC,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,BoE Clearing Day 1,A-becc1,79.43,U,256.26,176.83,TRUE,BOECLRD1,BOECLRD1/A-BECC1,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,Broadcasting Receiving Licences,D-brl,"20,413.03",M,"20,413.03",0,FALSE,BROADCAST,BROADCAST/D-BRL,BBC-OTH,BBC,OTH,TRUE,TRUE
24/05/2018,Cabinet Office,D-p1bacx,"-5,480.54",M,"-5,480.54",0,FALSE,CABINETOFF,CABINETOFF/D-P1BACX,CAB-LON,CAB,LON,TRUE,TRUE
24/05/2018,CCL,B-dutyx,"41,620.33",M,"41,620.33",0,FALSE,CCL,CCL/B-DUTYX,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Central office of Information,D-p1bacx,"-4,845.12",M,"-4,845.12",0,FALSE,CENTRALOFF,CENTRALOFF/D-P1BACX,BUSI-LON,BUSI,LON,TRUE,TRUE
24/05/2018,CHAPS Payments,A-uchap,"-1,270.85",M,"-1,270.85",0,FALSE,CHAPSPAYM,CHAPSPAYM/A-UCHAP,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,CHAPS Receipts,A-chaps,"79,110.41",M,"79,110.41",0,FALSE,CHAPSRECPT,CHAPSRECPT/A-CHAPS,BOE-OTH,BOE,OTH,TRUE,TRUE
24/05/2018,Charity BACS,A-tidx,"-2,621.13",M,"-2,621.13",0,FALSE,CHARITYBAC,CHARITYBAC/A-TIDX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,Child Benefit,D-p1bacx,"-90,548.05",M,"-90,548.05",0,FALSE,CHILDBENEF,CHILDBENEF/D-P1BACX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,Civil Superannuation,D-p1bacx,"-35,663.22",M,"-35,663.22",0,FALSE,CIVILSUPER,CIVILSUPER/D-P1BACX,CAB-LON,CAB,LON,TRUE,TRUE
24/05/2018,COTAX / SA,A-tidx,"-24,702.14",M,"-24,702.14",0,FALSE,COTAXSA,COTAXSA/A-TIDX,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,CREST,A-crest,"36,536.93",M,"36,536.93",0,FALSE,CREST,CREST/A-CREST,HMT-LON,HMT,LON,TRUE,TRUE
24/05/2018,Customs balance transfer to CF,BZ-ceconf,0,M,0,0,FALSE,CUSTOMSBAL,CUSTOMSBAL/BZ-CECONF,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Customs Balance Transfer to CF,R-cebal,0,M,0,0,FALSE,CUSTOMSBAL,CUSTOMSBAL/R-CEBAL,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Customs payments to OPG (inc Cont Fund repayments),DZ-ceopg,"9,134.23",M,"9,134.23",0,FALSE,CUSTOMSPAY,CUSTOMSPAY/DZ-CEOPG,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Customs payments to opg (inc Cont Fund repayments),BZ-ceopg,"-9,134.23",M,"-9,134.23",0,FALSE,CUSTOMSPAY,CUSTOMSPAY/BZ-CEOPG,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Customs receipts from OPG (inc Cont Fund drawings),BZ-opgce,0,M,0,0,FALSE,CUSTOMRECO,CUSTOMRECO/BZ-OPGCE,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,Customs Receipts from OPG (incl Cont Fund Drawing),DZ-opgce,0,M,0,0,FALSE,CUSTOMSREC,CUSTOMSREC/DZ-OPGCE,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,DCLG,D-p1bacx,"-8,339.95",M,"-8,339.95",0,FALSE,DCLG,DCLG/D-P1BACX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,DCSF,D-p1bacx,"-12,946.78",M,"-12,946.78",0,FALSE,DCSF,DCSF/D-P1BACX,DWP-LON,DWP,LON,TRUE,TRUE
24/05/2018,DEFRA,D-p1bacx,"-4,686.26",M,"-4,686.26",0,FALSE,DEFRA,DEFRA/D-P1BACX,DEFRA-LON,DEFRA,LON,TRUE,TRUE
24/05/2018,Department of Health,D-p1bacx,"-12,470.21",M,"-12,470.21",0,FALSE,DEPTHEALTH,DEPTHEALTH/D-P1BACX,HEALTH-OTH,HEALTH,OTH,TRUE,TRUE
24/05/2018,Department of Health,D-p1chpx,"-128,038.13",M,"-128,038.13",0,FALSE,DEPTHEALTH,DEPTHEALTH/D-P1CHPX,HEALTH-OTH,HEALTH,OTH,TRUE,TRUE
24/05/2018,Dept for Transport,D-p1bacx,"-37,410.64",M,"-37,410.64",0,FALSE,DEPTTRANS,DEPTTRANS/D-P1BACX,DFT-LON,DFT,LON,TRUE,TRUE
24/05/2018,DFID,D-p1chpx,"-23,828.44",M,"-23,828.44",0,FALSE,DFID,DFID/D-P1CHPX,INTDEV-LON,INTDEV,LON,TRUE,TRUE
24/05/2018,DFID,D-p1bacx,"-11,437.65",M,"-11,437.65",0,FALSE,DFID,DFID/D-P1BACX,INTDEV-LON,INTDEV,LON,TRUE,TRUE
24/05/2018,DVLA,D-p1bacx,"-9,769.66",M,"-9,769.66",0,FALSE,DVLA,DVLA/D-P1BACX,TRANSPORT-LON,TRANSPORT,LON,TRUE,TRUE
24/05/2018,England NHS,AZ-iropgx,"-7,783.96",M,"-7,783.96",0,FALSE,ENGLANDNHS,ENGLANDNHS/AZ-IROPGX,NHS-LON,NHS,LON,TRUE,TRUE
24/05/2018,England NHS,DZ-iropgx,"7,783.96",M,"7,783.96",0,FALSE,ENGLANDNHS,ENGLANDNHS/DZ-IROPGX,NHS-LON,NHS,LON,TRUE,TRUE
24/05/2018,English Receipts,B-eng,"24,305.00",M,"24,305.00",0,FALSE,ENGLISHREC,ENGLISHREC/B-ENG,HMRC-EOE,HMRC,EOE,TRUE,TRUE
24/05/2018,eVAT,B-eVAT,556,M,556,0,FALSE,EVAT,EVAT/B-EVAT,HMRC-LON,HMRC,LON,TRUE,TRUE
24/05/2018,FAS,B-dutyx,"3,415.41",M,"3,415.41",0,FALSE,FAS,FAS/B-DUTYX,HMRC-NIR,HMRC,NIR,TRUE,TRUE
24/05/2018,FCO,D-p1bacx,"-15,567.91",M,"-15,567.91",0,FALSE,FCO,FCO/D-P1BACX,FCO-LON,FCO,LON,TRUE,TRUE
