sourceTimeband,sourceValueDate,sourceAccount,sourceExternalReference,sourceBalance,wrkACCOUNT NAME,wrkCurrency,wrkTime,wrkCounterparty,Firm,Center,ParentExtRefNo,DealType,ExecType,ValueDate,Adjustment,Notes,ExtRefNo,RedefaultValues,Portfolio,runningBalance
09:30:00,23/03/2010,Bank of England,BALANCE,-79428.12,BANK OF ENGLAND,GBP,09:30:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,21/09/2018,-79428.12,Bank of England/BALANCE/21-09-18/09:30,1180605093000002,N,1,-79428.12
12:45:00,23/03/2010,Bank of England,BALANCE,-79428.12,BANK OF ENGLAND,GBP,12:45:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,21/09/2018,0,Bank of England/BALANCE/21-09-18/12:45,2180605124500003,N,2,-79428.12
14:15:00,23/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,14:15:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,21/09/2018,0,Bank of England/BALANCE/21-09-18/14:15,3180605141500004,N,3,-79428.12
15:15:00,23/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,15:15:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,21/09/2018,0,Bank of England/BALANCE/21-09-18/15:15,4180605151500005,N,4,-79428.12
15:40:00,23/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,15:40:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,21/09/2018,0,Bank of England/BALANCE/21-09-18/15:40,5180605154000006,N,5,-79428.12
16:05:00,23/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,16:05:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,21/09/2018,0,Bank of England/BALANCE/21-09-18/16:05,6180605160500007,N,6,-79428.12
16:30:00,23/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,16:30:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,21/09/2018,0,Bank of England/BALANCE/21-09-18/16:30,7180605163000008,N,7,-79428.12
09:30:00,24/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,09:30:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,24/09/2018,0,Bank of England/BALANCE/24-09-18/09:30,1180605093000009,N,1,-79428.12
12:45:00,24/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,12:45:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,24/09/2018,0,Bank of England/BALANCE/24-09-18/12:45,2180605124500010,N,2,-79428.12
14:15:00,24/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,14:15:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,24/09/2018,0,Bank of England/BALANCE/24-09-18/14:15,3180605141500011,N,3,-79428.12
15:15:00,24/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,15:15:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,24/09/2018,0,Bank of England/BALANCE/24-09-18/15:15,4180605151500012,N,4,-79428.12
15:40:00,24/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,15:40:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,24/09/2018,0,Bank of England/BALANCE/24-09-18/15:40,5180605154000013,N,5,-79428.12
16:05:00,24/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,16:05:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,24/09/2018,0,Bank of England/BALANCE/24-09-18/16:05,6180605160500014,N,6,-79428.12
16:30:00,24/03/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,16:30:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,24/09/2018,0,Bank of England/BALANCE/24-09-18/16:30,7180605163000015,N,7,-79428.12
09:30:00,09/04/2010,Bank of England,BALANCE,-3971.41,BANK OF ENGLAND,GBP,09:30:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,16/10/2018,75456.71,Bank of England/BALANCE/16-10-18/09:30,1180605093000016,N,1,-3971.41
12:45:00,09/04/2010,Bank of England,BALANCE,-3971.41,BANK OF ENGLAND,GBP,12:45:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,16/10/2018,0,Bank of England/BALANCE/16-10-18/12:45,2180605124500017,N,2,-3971.41
14:15:00,09/04/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,14:15:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,16/10/2018,0,Bank of England/BALANCE/16-10-18/14:15,3180605141500018,N,3,-3971.41
15:15:00,09/04/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,15:15:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,16/10/2018,0,Bank of England/BALANCE/16-10-18/15:15,4180605151500019,N,4,-3971.41
15:40:00,09/04/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,15:40:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,16/10/2018,0,Bank of England/BALANCE/16-10-18/15:40,5180605154000020,N,5,-3971.41
16:05:00,09/04/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,16:05:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,16/10/2018,0,Bank of England/BALANCE/16-10-18/16:05,6180605160500021,N,6,-3971.41
16:30:00,09/04/2010,Bank of England,BALANCE,0,BANK OF ENGLAND,GBP,16:30:00,BOE-OTH,BOE,OTH,BOE/BALANCE,Account Amendment,1,16/10/2018,0,Bank of England/BALANCE/16-10-18/16:30,7180605163000022,N,7,-3971.41
09:30:00,04/01/2010,Commercial,DEPOSIT,-26370.14,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-26370.14,Commercial/DEPOSIT/05-06-18/09:30,1180605093000023,N,1,-26370.14
09:30:00,04/01/2010,Commercial,DEPOSIT,-83002.38,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-56632.24,Commercial/DEPOSIT/05-06-18/09:30,1180605093000024,N,1,-83002.38
12:45:00,04/01/2010,Commercial,DEPOSIT,-26370.14,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,56632.24,Commercial/DEPOSIT/05-06-18/12:45,2180605124500025,N,2,-26370.14
12:45:00,04/01/2010,Commercial,DEPOSIT,-83002.38,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-56632.24,Commercial/DEPOSIT/05-06-18/12:45,2180605124500026,N,2,-83002.38
14:15:00,04/01/2010,Commercial,DEPOSIT,-26370.14,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,56632.24,Commercial/DEPOSIT/05-06-18/14:15,3180605141500027,N,3,-26370.14
14:15:00,04/01/2010,Commercial,DEPOSIT,-82605.24,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-56235.1,Commercial/DEPOSIT/05-06-18/14:15,3180605141500028,N,3,-82605.24
15:15:00,04/01/2010,Commercial,DEPOSIT,-26370.14,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,56235.1,Commercial/DEPOSIT/05-06-18/15:15,4180605151500029,N,4,-26370.14
15:15:00,04/01/2010,Commercial,DEPOSIT,-82605.24,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-56235.1,Commercial/DEPOSIT/05-06-18/15:15,4180605151500030,N,4,-82605.24
15:40:00,04/01/2010,Commercial,DEPOSIT,-26370.14,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,56235.1,Commercial/DEPOSIT/05-06-18/15:40,5180605154000031,N,5,-26370.14
15:40:00,04/01/2010,Commercial,DEPOSIT,-82605.24,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-56235.1,Commercial/DEPOSIT/05-06-18/15:40,5180605154000032,N,5,-82605.24
16:05:00,04/01/2010,Commercial,DEPOSIT,-26370.14,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,56235.1,Commercial/DEPOSIT/05-06-18/16:05,6180605160500033,N,6,-26370.14
16:05:00,04/01/2010,Commercial,DEPOSIT,-82605.24,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-56235.1,Commercial/DEPOSIT/05-06-18/16:05,6180605160500034,N,6,-82605.24
16:30:00,04/01/2010,Commercial,DEPOSIT,-26370.14,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,56235.1,Commercial/DEPOSIT/05-06-18/16:30,7180605163000035,N,7,-26370.14
16:30:00,04/01/2010,Commercial,DEPOSIT,-82605.24,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,05/06/2018,-56235.1,Commercial/DEPOSIT/05-06-18/16:30,7180605163000036,N,7,-82605.24
09:30:00,06/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,07/06/2018,76648.13,Commercial/DEPOSIT/07-06-18/09:30,1180605093000037,N,1,-5957.11
12:45:00,06/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,07/06/2018,0,Commercial/DEPOSIT/07-06-18/12:45,2180605124500038,N,2,-5957.11
14:15:00,06/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,07/06/2018,0,Commercial/DEPOSIT/07-06-18/14:15,3180605141500039,N,3,-5957.11
15:15:00,06/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,07/06/2018,0,Commercial/DEPOSIT/07-06-18/15:15,4180605151500040,N,4,-5957.11
15:40:00,06/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,07/06/2018,0,Commercial/DEPOSIT/07-06-18/15:40,5180605154000041,N,5,-5957.11
16:05:00,06/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,07/06/2018,0,Commercial/DEPOSIT/07-06-18/16:05,6180605160500042,N,6,-5957.11
16:30:00,06/01/2010,Commercial,DEPOSIT,-5957.11,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,07/06/2018,0,Commercial/DEPOSIT/07-06-18/16:30,7180605163000043,N,7,-5957.11
09:30:00,07/01/2010,Commercial,DEPOSIT,-16362.19,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,-10405.08,Commercial/DEPOSIT/08-06-18/09:30,1180605093000044,N,1,-16362.19
09:30:00,07/01/2010,Commercial,DEPOSIT,0,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,0,Commercial/DEPOSIT/08-06-18/09:30,1180605093000045,N,1,-16362.19
12:45:00,07/01/2010,Commercial,DEPOSIT,-16362.19,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,0,Commercial/DEPOSIT/08-06-18/12:45,2180605124500046,N,2,-16362.19
12:45:00,07/01/2010,Commercial,DEPOSIT,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,0,Commercial/DEPOSIT/08-06-18/12:45,2180605124500047,N,2,-16362.19
14:15:00,07/01/2010,Commercial,DEPOSIT,-16362.19,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,0,Commercial/DEPOSIT/08-06-18/14:15,3180605141500048,N,3,-16362.19
14:15:00,07/01/2010,Commercial,DEPOSIT,-3971.41,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,12390.78,Commercial/DEPOSIT/08-06-18/14:15,3180605141500049,N,3,-3971.41
15:15:00,07/01/2010,Commercial,DEPOSIT,-16362.19,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,-12390.78,Commercial/DEPOSIT/08-06-18/15:15,4180605151500050,N,4,-16362.19
15:15:00,07/01/2010,Commercial,DEPOSIT,-3971.41,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,12390.78,Commercial/DEPOSIT/08-06-18/15:15,4180605151500051,N,4,-3971.41
15:40:00,07/01/2010,Commercial,DEPOSIT,-16362.19,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,-12390.78,Commercial/DEPOSIT/08-06-18/15:40,5180605154000052,N,5,-16362.19
15:40:00,07/01/2010,Commercial,DEPOSIT,-3971.41,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,12390.78,Commercial/DEPOSIT/08-06-18/15:40,5180605154000053,N,5,-3971.41
16:05:00,07/01/2010,Commercial,DEPOSIT,-16362.19,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,-12390.78,Commercial/DEPOSIT/08-06-18/16:05,6180605160500054,N,6,-16362.19
16:05:00,07/01/2010,Commercial,DEPOSIT,-3971.41,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,12390.78,Commercial/DEPOSIT/08-06-18/16:05,6180605160500055,N,6,-3971.41
16:30:00,07/01/2010,Commercial,DEPOSIT,-16362.19,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,-12390.78,Commercial/DEPOSIT/08-06-18/16:30,7180605163000056,N,7,-16362.19
16:30:00,07/01/2010,Commercial,DEPOSIT,-3971.41,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,08/06/2018,12390.78,Commercial/DEPOSIT/08-06-18/16:30,7180605163000057,N,7,-3971.41
09:30:00,08/01/2010,Commercial,DEPOSIT,-15885.62,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,11/06/2018,-11914.21,Commercial/DEPOSIT/11-06-18/09:30,1180605093000058,N,1,-15885.62
12:45:00,08/01/2010,Commercial,DEPOSIT,-15885.62,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,11/06/2018,0,Commercial/DEPOSIT/11-06-18/12:45,2180605124500059,N,2,-15885.62
14:15:00,08/01/2010,Commercial,DEPOSIT,-15885.62,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,11/06/2018,0,Commercial/DEPOSIT/11-06-18/14:15,3180605141500060,N,3,-15885.62
15:15:00,08/01/2010,Commercial,DEPOSIT,-15885.62,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,11/06/2018,0,Commercial/DEPOSIT/11-06-18/15:15,4180605151500061,N,4,-15885.62
15:40:00,08/01/2010,Commercial,DEPOSIT,-15885.62,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,11/06/2018,0,Commercial/DEPOSIT/11-06-18/15:40,5180605154000062,N,5,-15885.62
16:05:00,08/01/2010,Commercial,DEPOSIT,-15885.62,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,11/06/2018,0,Commercial/DEPOSIT/11-06-18/16:05,6180605160500063,N,6,-15885.62
16:30:00,08/01/2010,Commercial,DEPOSIT,-15885.62,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,11/06/2018,0,Commercial/DEPOSIT/11-06-18/16:30,7180605163000064,N,7,-15885.62
09:30:00,12/01/2010,Commercial,DEPOSIT,-20651.31,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,15/06/2018,-4765.69,Commercial/DEPOSIT/15-06-18/09:30,1180605093000065,N,1,-20651.31
12:45:00,12/01/2010,Commercial,DEPOSIT,-20651.31,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/DEPOSIT,Account Amendment,1,15/06/2018,0,Commercial/DEPOSIT/15-06-18/12:45,2180605124500066,N,2,-20651.31
