DealTypeGroupKeyDealTypeGroupId,DealTypeGroupKeyDealType,InternalId,InternalDeleted
ALM - Bank MM,CD,214,NULL
ALM - Bank MM,Corp Term,226,NULL
ALM - Bank MM,Early Maturity,210,NULL
ALM - Bank MM,Early Redemption,209,NULL
ALM - Bank MM,Floating Term,208,NULL
ALM - Bank MM,Murabaha,227,NULL
ALM - Bank MM,Repo Bond,225,NULL
ALM - Bank MM,Repo CD,218,NULL
ALM - Bank MM,Repo Extn Bond,219,NULL
ALM - Bank MM,Repo Extn CD,220,NULL
ALM - Bank MM,Repo Extn FRN,221,NULL
ALM - Bank MM,Repo Extn ZCD,222,NULL
ALM - Bank MM,Repo FRN,223,NULL
ALM - Bank MM,Repo ZCD,224,NULL
ALM - Bank MM,Reverse Repo Bond,217,NULL
ALM - Bank MM,Reverse Repo CD,216,NULL
ALM - Bank MM,Reverse Repo Extn FRN,215,NULL
ALM - Bank MM,Reverse Repo FRN,213,NULL
ALM - Bank MM,Reverse Repo ZCD,212,NULL
ALM - Bank MM,Reverse RepoExtn Bond,211,NULL
ALM - Bank MM,Term,207,NULL
ALM - Bank MM,Term Rollover,206,NULL
ALM - Bank NI,CD,229,NULL
ALM - Bank NI,Corporate Bond,231,NULL
ALM - Bank NI,FRN,230,NULL
ALM - Bank NI,Sukuk,312,NULL
ALM - Bank NI,ZCD,228,NULL
ALM - Cash and Retail,Account,232,NULL
ALM - Cash and Retail,Account Amendment,233,NULL
ALM - Cash and Retail,Current Account,234,NULL
ALM - Cash and Retail,FX Inbound Payment,298,2018-01-26 10:34:01.4366667
ALM - Cash and Retail,FX Payment,297,2018-01-26 10:33:55.3966667
ALM - Cash and Retail,Internal Account,235,NULL
ALM - Cash and Retail,Internal Account Amendment,236,NULL
ALM - Cash and Retail,MT Collateral,310,NULL
ALM - CB,Government Bond,237,NULL
ALM - CB,Repo TBill,239,NULL
ALM - CB,Reverse Repo TBill,240,NULL
ALM - CB,Treasury Bill,238,NULL
ALM - CB OMO,Index Long Term Repo,241,NULL
ALM - CB OMO,Repo Bond,244,2018-03-08 10:41:02.0500000
ALM - CB OMO,Repo GOVT,332,NULL
ALM - CB OMO,Term Funding Scheme,242,NULL
ALM - CB OMO,Term Funding Scheme Amendment,243,NULL
ALM - Corp MM,Call Amendment,254,NULL
ALM - Corp MM,Call Conduit,255,NULL
ALM - Corp MM,Call Money,256,NULL
ALM - Corp MM,Corp Pledges,245,NULL
