Transaction UUID,Status,OriginalAmount,OriginalCurrency,MerchantAmount,MerchantCurrency,CustomerAmount,CustomerCurrency,Operation,Reference No,Create Date
3641053-1458747975-56,WAITING,22.49,EUR,22.49,EUR,76.2,TRY,3D,30102373,23/03/2016 15:46
3641050-1458747973-261,APPROVED,74.88,EUR,74.88,EUR,745.1,NOK,DIRECT,32-1458747973-1753-409739,23/03/2016 15:46
3641047-1458747972-134,APPROVED,8.92,EUR,8.92,EUR,8.92,EUR,REFUND,215-1458747971-3232-1202315,23/03/2016 15:46
3641044-1458747967-238,APPROVED,1.37,EUR,1.37,EUR,2.13,CAD,DIRECT,1191-1458747966-6284-4668090,23/03/2016 15:46
3641041-1458747966-216,WAITING,10.89,EUR,10.89,EUR,36.9,TRY,3D,10-1458747965-9604-4642443,23/03/2016 15:46
3641038-1458747964-171,APPROVED,13.62,EUR,13.62,EUR,21.13,CAD,DIRECT,1516-1458747964-3083-4604414,23/03/2016 15:46
3641035-1458747961-172,WAITING,205,EUR,205,EUR,2039.87,NOK,3D,172-1458747961-4002-438740,23/03/2016 15:46
3641032-1458747961-200,WAITING,30,EUR,30,EUR,298.52,NOK,3D,239-1458747961-3393-4110577,23/03/2016 15:46
3641029-1458747959-107,WAITING,14.87,EUR,14.87,EUR,50.38,TRY,3D,578-1458747958-5958-709355,23/03/2016 15:45
3641026-1458747957-102,WAITING,12.4,EUR,12.4,EUR,42.01,TRY,3D,743-1458747957-0414-3855820,23/03/2016 15:45
3641023-1458747956-224,APPROVED,21.64,EUR,21.64,EUR,215.33,NOK,DIRECT,12-1458747955-8583-79142,23/03/2016 15:45
3641056-1458747977-203,APPROVED,155,EUR,155,EUR,525.12,TRY,3DAUTH,1477-1458747954-2582-4668086,23/03/2016 15:46
3641011-1458747953-187,DECLINED,126.94,EUR,126.94,EUR,1263.13,NOK,DIRECT,346-1458747953-087-769199,23/03/2016 15:45
3641008-1458747953-216,WAITING,18.68,EUR,18.68,EUR,63.29,TRY,3D,10-1458747952-6386-4668082,23/03/2016 15:45
3641002-1458747950-134,APPROVED,8.92,EUR,8.92,EUR,8.92,EUR,REFUND,215-1458747949-1412-4491569,23/03/2016 15:45
3641020-1458747955-107,APPROVED,14.56,EUR,14.56,EUR,49.33,TRY,3DAUTH,578-1458747929-3092-698999,23/03/2016 15:45
3641017-1458747955-126,APPROVED,10.25,EUR,10.25,EUR,102,NOK,3DAUTH,47-1458747922-3112-4668078,23/03/2016 15:45
3640984-1458747922-63,WAITING,150,TRY,150,TRY,150,TRY,3D,DP1069742,23/03/2016 15:45
3640978-1458747920-200,WAITING,3,EUR,3,EUR,29.86,NOK,3D,239-1458747920-4288-3878164,23/03/2016 15:45
3640996-1458747944-119,APPROVED,50,EUR,50,EUR,50,EUR,3DAUTH,13-1458747917-9112-227153,23/03/2016 15:45
